Libellé;Nombre de naissances vivantes France métroolitaine
2025-09;50600 
2025-08;52600 
2025-07;54500 
2025-06;51400 
2025-05;50900 
2025-04;48700 
2025-03;50600 
2025-02;46700 
2025-01;52100 
2024-12;51366 
2024-11;50695 
2024-10;54366 
2024-09;52517 
2024-08;54115 
2024-07;54886 
2024-06;49999 
2024-05;53559 
2024-04;50374 
2024-03;51682 
2024-02;50026 
2024-01;53191 
2023-12;52495 
2023-11;53388 
2023-10;54907 
2023-09;52515 
2023-08;55667 
2023-07;56074 
2023-06;53985 
2023-05;53847 
2023-04;50499 
2023-03;52886 
2023-02;49645 
2023-01;53625 
2022-12;55852 
2022-11;56128 
2022-10;57402 
2022-09;56941 
2022-08;60778 
2022-07;61415 
2022-06;58331 
2022-05;58622 
2022-04;54233 
2022-03;56738 
2022-02;52956 
2022-01;57168 
2021-12;61105 
2021-11;59856 
2021-10;63639 
2021-09;61774 
2021-08;62341 
2021-07;62690 
2021-06;57482 
2021-05;57770 
2021-04;56886 
2021-03;57877 
2021-02;49209 
2021-01;51190 
2020-12;55475 
2020-11;56047 
2020-10;60873 
2020-09;59810 
2020-08;60399 
2020-07;62593 
2020-06;58571 
2020-05;58722 
2020-04;54317 
2020-03;57285 
2020-02;53514 
2020-01;59058 
2019-12;59799 
2019-11;58700 
2019-10;62636 
2019-09;61515 
2019-08;62998 
2019-07;64579 
2019-06;59768 
2019-05;60092 
2019-04;55652 
2019-03;56592 
2019-02;51832 
2019-01;59866 
2018-12;59931 
2018-11;59937 
2018-10;63588 
2018-09;61834 
2018-08;63860 
2018-07;64823 
2018-06;60292 
2018-05;61232 
2018-04;55364 
2018-03;56391 
2018-02;52733 
2018-01;59752 
2017-12;60841 
2017-11;60763 
2017-10;63830 
2017-09;61693 
2017-08;64654 
2017-07;65170 
2017-06;59935 
2017-05;62091 
2017-04;57195 
2017-03;58676 
2017-02;54948 
2017-01;60446 
2016-12;61250 
2016-11;60546 
2016-10;64513 
2016-09;63579 
2016-08;65109 
2016-07;67237 
2016-06;62797 
2016-05;62373 
2016-04;57235 
2016-03;59634 
2016-02;57854 
2016-01;62570 
2015-12;63637 
2015-11;61899 
2015-10;65888 
2015-09;65449 
2015-08;65784 
2015-07;66701 
2015-06;63984 
2015-05;64144 
2015-04;59699 
2015-03;61115 
2015-02;57525 
2015-01;64596 
2014-12;65573 
2014-11;63078 
2014-10;67637 
2014-09;67426 
2014-08;66837 
2014-07;68465 
2014-06;65018 
2014-05;64527 
2014-04;60665 
2014-03;64557 
2014-02;60373 
2014-01;67011 
2013-12;67052 
2013-11;64462 
2013-10;67931 
2013-09;66818 
2013-08;68466 
2013-07;70099 
2013-06;63680 
2013-05;65152 
2013-04;61106 
2013-03;62652 
2013-02;58533 
2013-01;65670 
2012-12;65869 
2012-11;65122 
2012-10;69892 
2012-09;66919 
2012-08;68642 
2012-07;68774 
2012-06;63920 
2012-05;66341 
2012-04;63184 
2012-03;65079 
2012-02;61634 
2012-01;64914 
2011-12;66124 
2011-11;64559 
2011-10;67464 
2011-09;67003 
2011-08;69486 
2011-07;70231 
2011-06;66950 
2011-05;67624 
2011-04;62244 
2011-03;64702 
2011-02;60316 
2011-01;66293 
2010-12;68258 
2010-11;66874 
2010-10;70298 
2010-09;67959 
2010-08;68783 
2010-07;69761 
2010-06;65535 
2010-05;66774 
2010-04;64024 
2010-03;66066 
2010-02;61107 
2010-01;66785 
2009-12;68307 
2009-11;65117 
2009-10;67903 
2009-09;67988 
2009-08;68311 
2009-07;70900 
2009-06;65184 
2009-05;66099 
2009-04;63560 
2009-03;64725 
2009-02;58890 
2009-01;66436 
2008-12;66250 
2008-11;63865 
2008-10;67489 
2008-09;67820 
2008-08;67926 
2008-07;70282 
2008-06;65352 
2008-05;68582 
2008-04;65943 
2008-03;64405 
2008-02;61219 
2008-01;66911 
2007-12;66724 
2007-11;64811 
2007-10;68727 
2007-09;66488 
2007-08;68249 
2007-07;68411 
2007-06;64156 
2007-05;66638 
2007-04;60994 
2007-03;64561 
2007-02;59939 
2007-01;66287 
2006-12;66387 
2006-11;65741 
2006-10;70117 
2006-09;69029 
2006-08;68913 
2006-07;69705 
2006-06;66224 
2006-05;68860 
2006-04;61797 
2006-03;65394 
2006-02;59915 
2006-01;64814 
2005-12;65648 
2005-11;63574 
2005-10;67111 
2005-09;66424 
2005-08;67070 
2005-07;66574 
2005-06;63627 
2005-05;65178 
2005-04;62437 
2005-03;63902 
2005-02;58823 
2005-01;63987 
2004-12;65925 
2004-11;64929 
2004-10;66932 
2004-09;65273 
2004-08;65846 
2004-07;68793 
2004-06;63303 
2004-05;61453 
2004-04;61116 
2004-03;60985 
2004-02;59222 
2004-01;64039 
2003-12;64323 
2003-11;61905 
2003-10;65109 
2003-09;63601 
2003-08;64025 
2003-07;67625 
2003-06;62144 
2003-05;65699 
2003-04;62670 
2003-03;62351 
2003-02;58057 
2003-01;63955 
2002-12;64189 
2002-11;61411 
2002-10;66644 
2002-09;64203 
2002-08;65735 
2002-07;67968 
2002-06;62181 
2002-05;64383 
2002-04;61725 
2002-03;62091 
2002-02;57216 
2002-01;63884 
2001-12;62934 
2001-11;63160 
2001-10;66765 
2001-09;63452 
2001-08;66010 
2001-07;68550 
2001-06;63176 
2001-05;67673 
2001-04;62957 
2001-03;63962 
2001-02;57456 
2001-01;64850 
2000-12;65053 
2000-11;63262 
2000-10;65720 
2000-09;64297 
2000-08;66778 
2000-07;67916 
2000-06;63940 
2000-05;67324 
2000-04;62469 
2000-03;64315 
2000-02;60149 
2000-01;63559 
1999-12;62987 
1999-11;59317 
1999-10;62887 
1999-09;63828 
1999-08;63892 
1999-07;67137 
1999-06;62656 
1999-05;63900 
1999-04;61179 
1999-03;61726 
1999-02;55445 
1999-01;59837 
1998-12;61647 
1998-11;59540 
1998-10;62236 
1998-09;63729 
1998-08;63321 
1998-07;65701 
1998-06;60742 
1998-05;61716 
1998-04;62217 
1998-03;61282 
1998-02;55008 
1998-01;60941 
1997-12;61610 
1997-11;58508 
1997-10;61058 
1997-09;59341 
1997-08;60381 
1997-07;65170 
1997-06;61616 
1997-05;63004 
1997-04;61726 
1997-03;59007 
1997-02;55141 
1997-01;60206 
1996-12;61657 
1996-11;59994 
1996-10;62493 
1996-09;60767 
1996-08;61124 
1996-07;66108 
1996-06;62819 
1996-05;63232 
1996-04;59500 
1996-03;60400 
1996-02;56692 
1996-01;59552 
1995-12;61361 
1995-11;59746 
1995-10;63788 
1995-09;61638 
1995-08;62474 
1995-07;65736 
1995-06;63217 
1995-05;62061 
1995-04;57521 
1995-03;60020 
1995-02;53474 
1995-01;58573 
1994-12;60823 
1994-11;58605 
1994-10;60406 
1994-09;57880 
1994-08;59604 
1994-07;63826 
1994-06;60951 
1994-05;62801 
1994-04;58486 
1994-03;58381 
1994-02;52901 
1994-01;56329 
1993-12;59242 
1993-11;56417 
1993-10;59102 
1993-09;59787 
1993-08;60699 
1993-07;64789 
1993-06;61634 
1993-05;60138 
1993-04;58898 
1993-03;58950 
1993-02;53452 
1993-01;58502 
1992-12;61264 
1992-11;58132 
1992-10;61693 
1992-09;61773 
1992-08;62163 
1992-07;66802 
1992-06;62280 
1992-05;64604 
1992-04;61694 
1992-03;62478 
1992-02;58811 
1992-01;61964 
1991-12;62536 
1991-11;60402 
1991-10;64147 
1991-09;63655 
1991-08;64545 
1991-07;68810 
1991-06;64174 
1991-05;65687 
1991-04;62560 
1991-03;62463 
1991-02;57319 
1991-01;62758 
1990-12;63359 
1990-11;61404 
1990-10;64688 
1990-09;61992 
1990-08;64823 
1990-07;68843 
1990-06;65000 
1990-05;67307 
1990-04;62139 
1990-03;63230 
1990-02;56701 
1990-01;62921 
1989-12;64440 
1989-11;62184 
1989-10;64292 
1989-09;60567 
1989-08;64007 
1989-07;68170 
1989-06;66118 
1989-05;68364 
1989-04;64191 
1989-03;64569 
1989-02;57666 
1989-01;60905 
1988-12;63419 
1988-11;61714 
1988-10;64432 
1988-09;64609 
1988-08;66037 
1988-07;66600 
1988-06;64456 
1988-05;68600 
1988-04;63550 
1988-03;65930 
1988-02;59563 
1988-01;62358 
1987-12;62884 
1987-11;59689 
1987-10;63511 
1987-09;63190 
1987-08;64129 
1987-07;67974 
1987-06;68275 
1987-05;69074 
1987-04;64830 
1987-03;64507 
1987-02;57137 
1987-01;62628 
1986-12;64328 
1986-11;60307 
1986-10;65099 
1986-09;64206 
1986-08;65760 
1986-07;67734 
1986-06;66807 
1986-05;70208 
1986-04;65781 
1986-03;65629 
1986-02;58689 
1986-01;63920 
1985-12;63358 
1985-11;60909 
1985-10;64195 
1985-09;62793 
1985-08;63905 
1985-07;69242 
1985-06;65603 
1985-05;70206 
1985-04;64679 
1985-03;64260 
1985-02;56278 
1985-01;63003 
1984-12;62213 
1984-11;61239 
1984-10;64887 
1984-09;62899 
1984-08;64674 
1984-07;68678 
1984-06;65570 
1984-05;66841 
1984-04;61144 
1984-03;63252 
1984-02;58353 
1984-01;60189 
1983-12;60065 
1983-11;57089 
1983-10;60295 
1983-09;61396 
1983-08;63518 
1983-07;68091 
1983-06;66146 
1983-05;68829 
1983-04;62754 
1983-03;62166 
1983-02;57134 
1983-01;61042 
1982-12;62434 
1982-11;61178 
1982-10;64998 
1982-09;65181 
1982-08;67083 
1982-07;70847 
1982-06;68944 
1982-05;72406 
1982-04;69541 
1982-03;69193 
1982-02;60701 
1982-01;64717 
1981-12;65701 
1981-11;62119 
1981-10;65195 
1981-09;65325 
1981-08;68330 
1981-07;71634 
1981-06;69281 
1981-05;73189 
1981-04;70351 
1981-03;68630 
1981-02;60514 
1981-01;65214 
1980-12;64906 
1980-11;62887 
1980-10;67243 
1980-09;65719 
1980-08;67362 
1980-07;71028 
1980-06;67896 
1980-05;73984 
1980-04;68442 
1980-03;67017 
1980-02;60354 
1980-01;63538 
1979-12;61797 
1979-11;59927 
1979-10;63552 
1979-09;60918 
1979-08;62044 
1979-07;66988 
1979-06;65426 
1979-05;70959 
1979-04;66351 
1979-03;63479 
1979-02;55932 
1979-01;59981 
1978-12;59464 
1978-11;55942 
1978-10;59840 
1978-09;58383 
1978-08;59429 
1978-07;64236 
1978-06;64352 
1978-05;70391 
1978-04;65767 
1978-03;63729 
1978-02;56160 
1978-01;59369 
1977-12;58995 
1977-11;56883 
1977-10;61441 
1977-09;60297 
1977-08;63412 
1977-07;66068 
1977-06;66698 
1977-05;71627 
1977-04;63785 
1977-03;62561 
1977-02;54481 
1977-01;58496 
1976-12;57655 
1976-11;55663 
1976-10;58434 
1976-09;59507 
1976-08;59794 
1976-07;63445 
1976-06;63948 
1976-05;65457 
1976-04;61643 
1976-03;61478 
1976-02;55628 
1976-01;57743 
1975-12;58080 
1975-11;54512 
1975-10;56394 
1975-09;56642 
1975-08;60598 
1975-07;66848 
1975-06;65199 
1975-05;71894 
1975-04;68355 
1975-03;65881 
1975-02;58062 
1975-01;62600 
1974-12;63089 
1974-11;60565 
1974-10;65166 
1974-09;65449 
1974-08;67548 
1974-07;70276 
1974-06;66978 
1974-05;73930 
1974-04;69910 
1974-03;69374 
1974-02;60724 
1974-01;68209 
1973-12;67276 
1973-11;64342 
1973-10;66171 
1973-09;66696 
1973-08;69954 
1973-07;74848 
1973-06;74712 
1973-05;80855 
1973-04;76926 
1973-03;76204 
1973-02;66306 
1973-01;72896 
1972-12;72600 
1972-11;67481 
1972-10;69873 
1972-09;69937 
1972-08;72082 
1972-07;76199 
1972-06;75698 
1972-05;79743 
1972-04;75391 
1972-03;76074 
1972-02;69083 
1972-01;73345 
1971-12;70751 
1971-11;67738 
1971-10;71304 
1971-09;71927 
1971-08;72280 
1971-07;76073 
1971-06;74870 
1971-05;81159 
1971-04;77515 
1971-03;76069 
1971-02;67670 
1971-01;73928 
1970-12;74116 
1970-11;68842 
1970-10;67915 
1970-09;66217 
1970-08;68980 
1970-07;74267 
1970-06;73159 
1970-05;77009 
1970-04;73170 
1970-03;73471 
1970-02;64082 
1970-01;69153 
1969-12;68797 
1969-11;64710 
1969-10;68777 
1969-09;68587 
1969-08;67686 
1969-07;72358 
1969-06;70852 
1969-05;76896 
1969-04;72018 
1969-03;74871 
1969-02;66375 
1969-01;70318 
1968-12;66283 
1968-11;63496 
1968-10;67673 
1968-09;69193 
1968-08;69027 
1968-07;71544 
1968-06;70355 
1968-05;75317 
1968-04;71719 
1968-03;73703 
1968-02;67077 
1968-01;70409 
1967-12;67606 
1967-11;63712 
1967-10;68208 
1967-09;68689 
1967-08;70013 
1967-07;72277 
1967-06;71045 
1967-05;77684 
1967-04;73777 
1967-03;72445 
1967-02;65089 
1967-01;70023 
1966-12;68168 
1966-11;65060 
1966-10;69098 
1966-09;69571 
1966-08;72037 
1966-07;74381 
1966-06;74129 
1966-05;79080 
1966-04;75285 
1966-03;76288 
1966-02;67416 
1966-01;73014 
1965-12;67650 
1965-11;65869 
1965-10;70156 
1965-09;71391 
1965-08;72935 
1965-07;74822 
1965-06;73132 
1965-05;77581 
1965-04;74441 
1965-03;75381 
1965-02;67592 
1965-01;74738 
1964-12;70094 
1964-11;66762 
1964-10;71449 
1964-09;72881 
1964-08;71523 
1964-07;76073 
1964-06;73946 
1964-05;78223 
1964-04;75562 
1964-03;76540 
1964-02;71534 
1964-01;73217 
1963-12;69006 
1963-11;66474 
1963-10;70966 
1963-09;72333 
1963-08;72671 
1963-07;76085 
1963-06;72129 
1963-05;77888 
1963-04;74497 
1963-03;77533 
1963-02;67690 
1963-01;71604 
1962-12;67220 
1962-11;65587 
1962-10;68706 
1962-09;68833 
1962-08;71174 
1962-07;70869 
1962-06;68454 
1962-05;74505 
1962-04;70128 
1962-03;72649 
1962-02;64691 
1962-01;69537 
1961-12;68087 
1961-11;65012 
1961-10;68105 
1961-09;67467 
1961-08;69759 
1961-07;71599 
1961-06;69854 
1961-05;75404 
1961-04;72534 
1961-03;73187 
1961-02;65868 
1961-01;71757 
1960-12;66239 
1960-11;61853 
1960-10;66044 
1960-09;68155 
1960-08;69943 
1960-07;71881 
1960-06;68962 
1960-05;73283 
1960-04;68782 
1960-03;70716 
1960-02;65972 
1960-01;67989 
1959-12;65947 
1959-11;63852 
1959-10;67418 
1959-09;67738 
1959-08;69936 
1959-07;71150 
1959-06;67763 
1959-05;73465 
1959-04;71319 
1959-03;72821 
1959-02;65815 
1959-01;72025 
1958-12;68819 
1958-11;65673 
1958-10;68382 
1958-09;65906 
1958-08;64077 
1958-07;66214 
1958-06;67490 
1958-05;72090 
1958-04;67376 
1958-03;71624 
1958-02;64465 
1958-01;70099 
1957-12;66527 
1957-11;63662 
1957-10;67028 
1957-09;67702 
1957-08;68944 
1957-07;67841 
1957-06;66762 
1957-05;70838 
1957-04;68475 
1957-03;71804 
1957-02;65515 
1957-01;71369 
1956-12;65359 
1956-11;61108 
1956-10;63857 
1956-09;65080 
1956-08;67844 
1956-07;70485 
1956-06;66428 
1956-05;72508 
1956-04;68117 
1956-03;71586 
1956-02;66290 
1956-01;68254 
1955-12;64776 
1955-11;60667 
1955-10;64480 
1955-09;63842 
1955-08;67434 
1955-07;70238 
1955-06;67817 
1955-05;72035 
1955-04;70245 
1955-03;71800 
1955-02;63330 
1955-01;69253 
1954-12;64038 
1954-11;61497 
1954-10;65149 
1954-09;65781 
1954-08;69177 
1954-07;70499 
1954-06;66940 
1954-05;72752 
1954-04;69474 
1954-03;70406 
1954-02;64826 
1954-01;70215 
1953-12;64695 
1953-11;59440 
1953-10;62643 
1953-09;65045 
1953-08;68549 
1953-07;71225 
1953-06;67705 
1953-05;71645 
1953-04;67876 
1953-03;71538 
1953-02;64564 
1953-01;69771 
1952-12;64376 
1952-11;62940 
1952-10;65510 
1952-09;66843 
1952-08;68979 
1952-07;69876 
1952-06;68354 
1952-05;72814 
1952-04;71715 
1952-03;73414 
1952-02;67033 
1952-01;70350 
1951-12;65492 
1951-11;60226 
1951-10;65112 
1951-09;66254 
1951-08;68929 
1951-07;73716 
1951-06;70322 
1951-05;74698 
1951-04;71787 
1951-03;72954 
1951-02;66113 
1951-01;71119 
1950-12;67156 
1950-11;65008 
1950-10;69357 
1950-09;68156 
1950-08;70728 
1950-07;73248 
1950-06;72030 
1950-05;76436 
1950-04;75376 
1950-03;78650 
1950-02;69607 
1950-01;76558 
1949-12;71065 
1949-11;66084 
1949-10;66170 
1949-09;68997 
1949-08;71895 
1949-07;75128 
1949-06;73823 
1949-05;77381 
1949-04;76630 
1949-03;78043 
1949-02;70292 
1949-01;77153 
1948-12;71105 
1948-11;66781 
1948-10;68475 
1948-09;70801 
1948-08;72155 
1948-07;75725 
1948-06;71360 
1948-05;73476 
1948-04;73569 
1948-03;78215 
1948-02;73285 
1948-01;75889 
1947-12;68318 
1947-11;65189 
1947-10;67344 
1947-09;70028 
1947-08;72383 
1947-07;75384 
1947-06;74571 
1947-05;78953 
1947-04;75911 
1947-03;78247 
1947-02;70065 
1947-01;74079 
1946-12;68035 
1946-11;62949 
1946-10;64468 
1946-09;68450 
1946-08;71297 
1946-07;75104 
1946-06;71970 
1946-05;76636 
1946-04;76400 
1946-03;78294 
1946-02;65702 
1946-01;64599 